fin_year,flow,budget_category,budget_entry,flow_type,value
2012,expenditure,CDC,Garrison City,General Expenditure,368.134
2012,expenditure,CDC,Garrison City,Capital Expenditure,93.4
2012,expenditure,CDC,NPT,General Expenditure,2050
2012,expenditure,CDC,NPT,General Expenditure,600
2012,expenditure,CDC,NPT,Capital Expenditure,1025
2012,expenditure,Ministries and Departments,Agriculture and Irrigation,General Expenditure,191933.1167
2012,expenditure,Ministries and Departments,Agriculture and Irrigation,General Expenditure,22173.646
2012,expenditure,Ministries and Departments,Agriculture and Irrigation,Interest payments,6.12
2012,expenditure,Ministries and Departments,Agriculture and Irrigation,Interest payments,0.521
2012,expenditure,Ministries and Departments,Agriculture and Irrigation,Aid,0.513
2012,expenditure,Ministries and Departments,Agriculture and Irrigation,Aid,0
2012,expenditure,Ministries and Departments,Agriculture and Irrigation,Capital Expenditure,118284.0494
2012,expenditure,Ministries and Departments,Agriculture and Irrigation,Capital Expenditure,56027.675
2012,expenditure,Ministries and Departments,Agriculture and Irrigation,Borrowing,0
2012,expenditure,Ministries and Departments,Agriculture and Irrigation,Borrowing,0
2012,expenditure,Ministries and Departments,Agriculture and Irrigation,Expenditure for loans,10.417
2012,expenditure,Ministries and Departments,Agriculture and Irrigation,Expenditure for loans,4.653
2012,expenditure,Ministries and Departments,Agriculture and Irrigation,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Agriculture and Irrigation,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Agriculture and Irrigation,Savings,0
2012,expenditure,Ministries and Departments,Agriculture and Irrigation,Savings,0
2012,expenditure,Ministries and Departments,Border Affairs,General Expenditure,7428.9917
2012,expenditure,Ministries and Departments,Border Affairs,General Expenditure,0
2012,expenditure,Ministries and Departments,Border Affairs,Interest payments,1
2012,expenditure,Ministries and Departments,Border Affairs,Interest payments,0
2012,expenditure,Ministries and Departments,Border Affairs,Aid,4405.968
2012,expenditure,Ministries and Departments,Border Affairs,Aid,216.241
2012,expenditure,Ministries and Departments,Border Affairs,Capital Expenditure,18090.27737
2012,expenditure,Ministries and Departments,Border Affairs,Capital Expenditure,8220.68
2012,expenditure,Ministries and Departments,Border Affairs,Borrowing,0
2012,expenditure,Ministries and Departments,Border Affairs,Borrowing,0
2012,expenditure,Ministries and Departments,Border Affairs,Expenditure for loans,4.72
2012,expenditure,Ministries and Departments,Border Affairs,Expenditure for loans,0
2012,expenditure,Ministries and Departments,Border Affairs,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Border Affairs,Investment in Orgs,0
2012,expenditure,Ministries and Departments,Border Affairs,Savings,0
2012,expenditure,Ministries and Departments,Border Affairs,Savings,0
